
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C8:91:F9:F1:15:B6, 2020-04-01 15:03:37, 2020-04-01 15:17:34,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -68,     5783,    10503,   0.  0.  0.  0,   8, GVT-15B0, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AC:E4:B5:96:47:DF, 2020-04-01 15:03:57, 2020-04-01 15:17:33, -90,      360, C8:91:F9:F1:15:B6,
9C:64:8B:28:1F:06, 2020-04-01 15:03:41, 2020-04-01 15:17:17, -88,     1418, C8:91:F9:F1:15:B6,
C0:8C:71:B8:A5:97, 2020-04-01 15:03:46, 2020-04-01 15:17:05, -88,     1256, C8:91:F9:F1:15:B6,
50:92:B9:2B:DE:A0, 2020-04-01 15:03:45, 2020-04-01 15:17:30, -82,      178, C8:91:F9:F1:15:B6,
38:9A:F6:05:3C:5F, 2020-04-01 15:03:41, 2020-04-01 15:17:33, -80,     3118, C8:91:F9:F1:15:B6,
4C:09:D4:47:6B:B1, 2020-04-01 15:03:44, 2020-04-01 15:17:32, -90,      530, C8:91:F9:F1:15:B6,
48:49:C7:8E:D7:D8, 2020-04-01 15:05:03, 2020-04-01 15:17:33, -82,      190, C8:91:F9:F1:15:B6,
48:5A:B6:F5:C1:0C, 2020-04-01 15:03:41, 2020-04-01 15:17:02,  -1,        5, C8:91:F9:F1:15:B6,
0C:84:DC:1C:12:47, 2020-04-01 15:05:03, 2020-04-01 15:17:02,  -1,        5, C8:91:F9:F1:15:B6,
3C:A1:0D:7C:44:AF, 2020-04-01 15:05:03, 2020-04-01 15:17:02,  -1,        6, C8:91:F9:F1:15:B6,
48:A9:1C:E8:B9:59, 2020-04-01 15:03:41, 2020-04-01 15:17:02,  -1,     2502, C8:91:F9:F1:15:B6,

