
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C8:91:F9:F1:15:B6, 2020-04-01 15:55:15, 2020-04-01 16:00:23,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -68,     2503,     3259,   0.  0.  0.  0,   8, GVT-15B0, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
38:9A:F6:05:3C:5F, 2020-04-01 15:55:38, 2020-04-01 15:59:16, -84,       40, C8:91:F9:F1:15:B6,
50:92:B9:2B:DE:A0, 2020-04-01 15:55:25, 2020-04-01 15:59:02, -76,       88, C8:91:F9:F1:15:B6,
3C:A1:0D:7C:44:AF, 2020-04-01 15:56:03, 2020-04-01 15:59:01,  -1,        2, C8:91:F9:F1:15:B6,
0C:84:DC:1C:12:47, 2020-04-01 15:56:03, 2020-04-01 15:59:01,  -1,        2, C8:91:F9:F1:15:B6,
4C:09:D4:47:6B:B1, 2020-04-01 15:55:20, 2020-04-01 16:00:15, -86,      167, C8:91:F9:F1:15:B6,
9C:64:8B:28:1F:06, 2020-04-01 15:55:20, 2020-04-01 16:00:22, -74,      525, C8:91:F9:F1:15:B6,
48:49:C7:8E:D7:D8, 2020-04-01 15:55:44, 2020-04-01 16:00:19, -74,       73, C8:91:F9:F1:15:B6,
C0:8C:71:B8:A5:97, 2020-04-01 15:55:19, 2020-04-01 16:00:20, -72,     1862, C8:91:F9:F1:15:B6,
48:5A:B6:F5:C1:0C, 2020-04-01 15:56:03, 2020-04-01 16:00:17,  -1,        7, C8:91:F9:F1:15:B6,
AC:E4:B5:96:47:DF, 2020-04-01 15:55:16, 2020-04-01 16:00:09,  -1,      302, C8:91:F9:F1:15:B6,

