
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C8:91:F9:F1:15:B6, 2020-04-01 16:01:10, 2020-04-01 16:46:05,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -70,    14746,    66770,   0.  0.  0.  0,   8, GVT-15B0, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
48:5A:B6:F5:C1:0C, 2020-04-01 16:02:35, 2020-04-01 16:44:02,  -1,      100, C8:91:F9:F1:15:B6,
0C:84:DC:1C:12:47, 2020-04-01 16:02:02, 2020-04-01 16:44:02, -88,       19, C8:91:F9:F1:15:B6,
4C:09:D4:47:6B:B1, 2020-04-01 16:01:14, 2020-04-01 16:41:49,   0,    54890, C8:91:F9:F1:15:B6,GVT-15B0
AC:E4:B5:96:47:DF, 2020-04-01 16:01:14, 2020-04-01 16:43:43, -84,     4725, C8:91:F9:F1:15:B6,
48:49:C7:8E:D7:D8, 2020-04-01 16:01:38, 2020-04-01 16:46:05, -86,     1777, C8:91:F9:F1:15:B6,
3C:A1:0D:7C:44:AF, 2020-04-01 16:02:02, 2020-04-01 16:45:23, -88,       23, C8:91:F9:F1:15:B6,
C0:8C:71:B8:A5:97, 2020-04-01 16:01:10, 2020-04-01 16:46:04, -76,    22865, C8:91:F9:F1:15:B6,GVT-15B0
38:9A:F6:05:3C:5F, 2020-04-01 16:01:27, 2020-04-01 16:45:58, -80,     3674, C8:91:F9:F1:15:B6,
9C:64:8B:28:1F:06, 2020-04-01 16:01:18, 2020-04-01 16:45:15, -76,      916, C8:91:F9:F1:15:B6,
50:92:B9:2B:DE:A0, 2020-04-01 16:01:34, 2020-04-01 16:45:28, -68,     1034, C8:91:F9:F1:15:B6,
48:A9:1C:E8:B9:59, 2020-04-01 16:30:39, 2020-04-01 16:45:32,  -1,      741, C8:91:F9:F1:15:B6,

